ID,Puzzle,Difficulty
1,32.9.......52.7.....958...2.87..5.4.......6...3....7.86......17.....24...7.4...2.,2.6
2,3.....7......8..13..9..3.4.9..6.7.......2......8....517...1......2.9...8.15.76...,2.6
3,25.6.............1..4157.3.6....3..97....92....35.............41.....6....837....,2.6
4,........1...81.3.6.....64.5....248..16...7...3......7.2.5.....89...7.5.....5...1.,2.6
5,37.98..6.92........4........6...5729......3.....7...56.9.2.41..........7.56..7...,2.6
6,2.17.........3.2.4...1....6.....6......4...828.4..2..315....62..9......1..6.9.53.,2.6
7,6.....879..5.....3...79..........9..72...8.36.1.4....5......2.8.....7.6.23..1....,2.6
8,.27.8..1..95.1.......4.29.....14..........82..3......9...........492..3...8....65,2.6
9,....8.7...6.3.....35.9............4..2.65.3.9.1..3...2.35.2..9...8.4..........58.,2.6
10,5.....7......3.419..9..4...3..81..........9.......7.51.36.981...1.32..7...8......,2.6
11,6......4.....8.5.....4.17...295...3...61...5...32..96........7..4.32....25...7...,2.6
12,..8.......3412.......8....99.....5...2.394..1...........596.8.72....7....6..1..3.,2.6
13,.......98....2....87...4...5.....9.1.8....7...2.18....1.8.37.5...7492....3.5.....,2.6
14,..45.6.1.19..8.........2.9....6.1....6....349....5..7..7.............7533.68.....,2.6
15,..12.6.3....3.7..1....5.....1...279........58.46........8....15..2......9...4..8.,2.6
16,....1...4............27683...94..5..8....9..27....24.3...8.5.....57......63......,2.6
17,..5...1..36....4..1....5.6..38.....6...4.6..9........55.........4.2....76..3.79..,2.6
18,5......2.....6...94.13...7..4.1...9...2....588.5......3.64.5........1..5...29...3,2.6
19,..8.....4.1.....27..95.......4..2..896..75.4.....91.....3...2..49...6.5..2.1.....,2.6
20,............2.715.5..9....4.9.71....6......9....5....29.84...7..7..23....1....6..,2.6
21,........4...3.1....84...2...7......66.3....815.9....7...765....9..8...2..4..9..5.,2.6
22,......93.1....5...9..78......45..2......2.3.8.1......7..51.8.6......3.9...6......,2.6
23,68..5..7....8...4...1.....91.......4.32.7.95....2........7.....7...9..2.5.4....8.,2.6
24,.....8.546....92......24..79..4.1..215.8...4..8.....6...3...5.........1..9.3.2...,2.6
25,61.5...8...2...6.......79....54...3...1.9.....3..5.84..4.2.......83...24.....93..,2.6
26,2.48....9.....92.1..1.37...8....6......95....1.....5......7..9..52....6..8.5..7..,2.6
27,7..4...6.....269.4........3.4.37...8....45..98..2......1....38...2.......9...7.2.,2.6
28,...6....1.2..9..3.....4.5.72.........9.51.7..73.....6.....72...8....13...14.3....,2.6
29,38.2..51..1.....8..2.9..7..1.8.64........7......1..3............7.5.92..5.9.1....,2.6
30,..2...8..5.4.69..13.........3..1....6....3.4..49.75..82.....9......8...6....51..3,2.6
31,...6.5.1..2..3.......7.98..3....715.4......3.29......8.......83.7...8..2..6...9..,2.6
32,....95..41......3....4..2...2.9.3.5..15.6..7..7.....9........8.2..8....689..567..,2.6
